DATE_KEY,FULL_DATE,YEAR,MONTH,MONTH_NAME,WEEK_IN_MONTH,DAY,DAY_OF_WEEK,TRIMESTER,NATIONAL_HOLIDAY_INDICATOR,WEEKDAY_INDICATOR
1,2016-01-01,2016,1,January,1,1,Friday,Q1,Holiday,Weekday
2,2016-01-02,2016,1,January,1,2,Saturday,Q1,Non-Holiday,Weekend
3,2016-01-03,2016,1,January,1,3,Sunday,Q1,Non-Holiday,Weekend
4,2016-01-04,2016,1,January,1,4,Monday,Q1,Non-Holiday,Weekday
5,2016-01-05,2016,1,January,1,5,Tuesday,Q1,Non-Holiday,Weekday
6,2016-01-06,2016,1,January,1,6,Wednesday,Q1,Non-Holiday,Weekday
7,2016-01-07,2016,1,January,1,7,Thursday,Q1,Non-Holiday,Weekday
8,2016-01-08,2016,1,January,2,8,Friday,Q1,Non-Holiday,Weekday
9,2016-01-09,2016,1,January,2,9,Saturday,Q1,Non-Holiday,Weekend
10,2016-01-10,2016,1,January,2,10,Sunday,Q1,Non-Holiday,Weekend
11,2016-01-11,2016,1,January,2,11,Monday,Q1,Non-Holiday,Weekday
12,2016-01-12,2016,1,January,2,12,Tuesday,Q1,Non-Holiday,Weekday
13,2016-01-13,2016,1,January,2,13,Wednesday,Q1,Non-Holiday,Weekday
14,2016-01-14,2016,1,January,2,14,Thursday,Q1,Non-Holiday,Weekday
15,2016-01-15,2016,1,January,2,15,Friday,Q1,Non-Holiday,Weekday
16,2016-01-16,2016,1,January,3,16,Saturday,Q1,Non-Holiday,Weekend
17,2016-01-17,2016,1,January,3,17,Sunday,Q1,Non-Holiday,Weekend
18,2016-01-18,2016,1,January,3,18,Monday,Q1,Non-Holiday,Weekday
19,2016-01-19,2016,1,January,3,19,Tuesday,Q1,Non-Holiday,Weekday
20,2016-01-20,2016,1,January,3,20,Wednesday,Q1,Non-Holiday,Weekday
21,2016-01-21,2016,1,January,3,21,Thursday,Q1,Non-Holiday,Weekday
22,2016-01-22,2016,1,January,3,22,Friday,Q1,Non-Holiday,Weekday
23,2016-01-23,2016,1,January,3,23,Saturday,Q1,Non-Holiday,Weekend
24,2016-01-24,2016,1,January,4,24,Sunday,Q1,Non-Holiday,Weekend
25,2016-01-25,2016,1,January,4,25,Monday,Q1,Non-Holiday,Weekday
26,2016-01-26,2016,1,January,4,26,Tuesday,Q1,Non-Holiday,Weekday
27,2016-01-27,2016,1,January,4,27,Wednesday,Q1,Non-Holiday,Weekday
28,2016-01-28,2016,1,January,4,28,Thursday,Q1,Non-Holiday,Weekday
29,2016-01-29,2016,1,January,4,29,Friday,Q1,Non-Holiday,Weekday
30,2016-01-30,2016,1,January,4,30,Saturday,Q1,Non-Holiday,Weekend
31,2016-01-31,2016,1,January,4,31,Sunday,Q1,Non-Holiday,Weekend
32,2016-02-01,2016,2,February,1,1,Monday,Q1,Non-Holiday,Weekday
33,2016-02-02,2016,2,February,1,2,Tuesday,Q1,Non-Holiday,Weekday
34,2016-02-03,2016,2,February,1,3,Wednesday,Q1,Non-Holiday,Weekday
35,2016-02-04,2016,2,February,1,4,Thursday,Q1,Non-Holiday,Weekday
36,2016-02-05,2016,2,February,1,5,Friday,Q1,Non-Holiday,Weekday
37,2016-02-06,2016,2,February,1,6,Saturday,Q1,Non-Holiday,Weekend
38,2016-02-07,2016,2,February,1,7,Sunday,Q1,Non-Holiday,Weekend
39,2016-02-08,2016,2,February,2,8,Monday,Q1,Non-Holiday,Weekday
40,2016-02-09,2016,2,February,2,9,Tuesday,Q1,Non-Holiday,Weekday
41,2016-02-10,2016,2,February,2,10,Wednesday,Q1,Non-Holiday,Weekday
42,2016-02-11,2016,2,February,2,11,Thursday,Q1,Non-Holiday,Weekday
43,2016-02-12,2016,2,February,2,12,Friday,Q1,Non-Holiday,Weekday
44,2016-02-13,2016,2,February,2,13,Saturday,Q1,Non-Holiday,Weekend
45,2016-02-14,2016,2,February,2,14,Sunday,Q1,Non-Holiday,Weekend
46,2016-02-15,2016,2,February,2,15,Monday,Q1,Non-Holiday,Weekday
47,2016-02-16,2016,2,February,3,16,Tuesday,Q1,Non-Holiday,Weekday
48,2016-02-17,2016,2,February,3,17,Wednesday,Q1,Non-Holiday,Weekday
49,2016-02-18,2016,2,February,3,18,Thursday,Q1,Non-Holiday,Weekday
50,2016-02-19,2016,2,February,3,19,Friday,Q1,Non-Holiday,Weekday
51,2016-02-20,2016,2,February,3,20,Saturday,Q1,Non-Holiday,Weekend
52,2016-02-21,2016,2,February,3,21,Sunday,Q1,Non-Holiday,Weekend
53,2016-02-22,2016,2,February,3,22,Monday,Q1,Non-Holiday,Weekday
54,2016-02-23,2016,2,February,3,23,Tuesday,Q1,Non-Holiday,Weekday
55,2016-02-24,2016,2,February,4,24,Wednesday,Q1,Non-Holiday,Weekday
56,2016-02-25,2016,2,February,4,25,Thursday,Q1,Non-Holiday,Weekday
57,2016-02-26,2016,2,February,4,26,Friday,Q1,Non-Holiday,Weekday
58,2016-02-27,2016,2,February,4,27,Saturday,Q1,Non-Holiday,Weekend
59,2016-02-28,2016,2,February,4,28,Sunday,Q1,Non-Holiday,Weekend
60,2016-02-29,2016,2,February,4,29,Monday,Q1,Non-Holiday,Weekday
61,2016-03-01,2016,3,March,1,1,Tuesday,Q1,Non-Holiday,Weekday
62,2016-03-02,2016,3,March,1,2,Wednesday,Q1,Non-Holiday,Weekday
63,2016-03-03,2016,3,March,1,3,Thursday,Q1,Non-Holiday,Weekday
64,2016-03-04,2016,3,March,1,4,Friday,Q1,Non-Holiday,Weekday
65,2016-03-05,2016,3,March,1,5,Saturday,Q1,Non-Holiday,Weekend
66,2016-03-06,2016,3,March,1,6,Sunday,Q1,Non-Holiday,Weekend
67,2016-03-07,2016,3,March,1,7,Monday,Q1,Non-Holiday,Weekday
68,2016-03-08,2016,3,March,2,8,Tuesday,Q1,Non-Holiday,Weekday
69,2016-03-09,2016,3,March,2,9,Wednesday,Q1,Non-Holiday,Weekday
70,2016-03-10,2016,3,March,2,10,Thursday,Q1,Non-Holiday,Weekday
71,2016-03-11,2016,3,March,2,11,Friday,Q1,Non-Holiday,Weekday
72,2016-03-12,2016,3,March,2,12,Saturday,Q1,Non-Holiday,Weekend
73,2016-03-13,2016,3,March,2,13,Sunday,Q1,Non-Holiday,Weekend
74,2016-03-14,2016,3,March,2,14,Monday,Q1,Non-Holiday,Weekday
75,2016-03-15,2016,3,March,2,15,Tuesday,Q1,Non-Holiday,Weekday
76,2016-03-16,2016,3,March,3,16,Wednesday,Q1,Non-Holiday,Weekday
77,2016-03-17,2016,3,March,3,17,Thursday,Q1,Non-Holiday,Weekday
78,2016-03-18,2016,3,March,3,18,Friday,Q1,Non-Holiday,Weekday
79,2016-03-19,2016,3,March,3,19,Saturday,Q1,Non-Holiday,Weekend
80,2016-03-20,2016,3,March,3,20,Sunday,Q1,Non-Holiday,Weekend
81,2016-03-21,2016,3,March,3,21,Monday,Q1,Non-Holiday,Weekday
82,2016-03-22,2016,3,March,3,22,Tuesday,Q1,Non-Holiday,Weekday
83,2016-03-23,2016,3,March,3,23,Wednesday,Q1,Non-Holiday,Weekday
84,2016-03-24,2016,3,March,4,24,Thursday,Q1,Non-Holiday,Weekday
85,2016-03-25,2016,3,March,4,25,Friday,Q1,Non-Holiday,Weekday
86,2016-03-26,2016,3,March,4,26,Saturday,Q1,Non-Holiday,Weekend
87,2016-03-27,2016,3,March,4,27,Sunday,Q1,Non-Holiday,Weekend
88,2016-03-28,2016,3,March,4,28,Monday,Q1,Non-Holiday,Weekday
89,2016-03-29,2016,3,March,4,29,Tuesday,Q1,Non-Holiday,Weekday
90,2016-03-30,2016,3,March,4,30,Wednesday,Q1,Non-Holiday,Weekday
91,2016-03-31,2016,3,March,4,31,Thursday,Q1,Non-Holiday,Weekday
92,2016-04-01,2016,4,April,1,1,Friday,Q2,Non-Holiday,Weekday
93,2016-04-02,2016,4,April,1,2,Saturday,Q2,Non-Holiday,Weekend
94,2016-04-03,2016,4,April,1,3,Sunday,Q2,Non-Holiday,Weekend
95,2016-04-04,2016,4,April,1,4,Monday,Q2,Non-Holiday,Weekday
96,2016-04-05,2016,4,April,1,5,Tuesday,Q2,Non-Holiday,Weekday
97,2016-04-06,2016,4,April,1,6,Wednesday,Q2,Non-Holiday,Weekday
98,2016-04-07,2016,4,April,1,7,Thursday,Q2,Non-Holiday,Weekday
99,2016-04-08,2016,4,April,2,8,Friday,Q2,Non-Holiday,Weekday
100,2016-04-09,2016,4,April,2,9,Saturday,Q2,Non-Holiday,Weekend
101,2016-04-10,2016,4,April,2,10,Sunday,Q2,Non-Holiday,Weekend
102,2016-04-11,2016,4,April,2,11,Monday,Q2,Non-Holiday,Weekday
103,2016-04-12,2016,4,April,2,12,Tuesday,Q2,Non-Holiday,Weekday
104,2016-04-13,2016,4,April,2,13,Wednesday,Q2,Non-Holiday,Weekday
105,2016-04-14,2016,4,April,2,14,Thursday,Q2,Non-Holiday,Weekday
106,2016-04-15,2016,4,April,2,15,Friday,Q2,Non-Holiday,Weekday
107,2016-04-16,2016,4,April,3,16,Saturday,Q2,Non-Holiday,Weekend
108,2016-04-17,2016,4,April,3,17,Sunday,Q2,Non-Holiday,Weekend
109,2016-04-18,2016,4,April,3,18,Monday,Q2,Non-Holiday,Weekday
110,2016-04-19,2016,4,April,3,19,Tuesday,Q2,Non-Holiday,Weekday
111,2016-04-20,2016,4,April,3,20,Wednesday,Q2,Non-Holiday,Weekday
112,2016-04-21,2016,4,April,3,21,Thursday,Q2,Holiday,Weekday
113,2016-04-22,2016,4,April,3,22,Friday,Q2,Non-Holiday,Weekday
114,2016-04-23,2016,4,April,3,23,Saturday,Q2,Non-Holiday,Weekend
115,2016-04-24,2016,4,April,4,24,Sunday,Q2,Non-Holiday,Weekend
116,2016-04-25,2016,4,April,4,25,Monday,Q2,Non-Holiday,Weekday
117,2016-04-26,2016,4,April,4,26,Tuesday,Q2,Non-Holiday,Weekday
118,2016-04-27,2016,4,April,4,27,Wednesday,Q2,Non-Holiday,Weekday
119,2016-04-28,2016,4,April,4,28,Thursday,Q2,Non-Holiday,Weekday
120,2016-04-29,2016,4,April,4,29,Friday,Q2,Non-Holiday,Weekday
121,2016-04-30,2016,4,April,4,30,Saturday,Q2,Non-Holiday,Weekend
122,2016-05-01,2016,5,May,1,1,Sunday,Q2,Holiday,Weekend
123,2016-05-02,2016,5,May,1,2,Monday,Q2,Non-Holiday,Weekday
124,2016-05-03,2016,5,May,1,3,Tuesday,Q2,Non-Holiday,Weekday
