SELLER_GEOLOCATION_KEY,SELLER_ZIP_CODE_PREFIX,CITY,STATE,LATITUDE,LONGITUDE
1,1001,Sao Paulo,São Paulo,-23.550189776551765,-46.6340235559042
21,1021,Sao Paulo,São Paulo,-23.543000459064803,-46.63214323386248
22,1022,Sao Paulo,São Paulo,-23.544921826153427,-46.631931335611945
23,1023,Sao Paulo,São Paulo,-23.542330784361457,-46.63137340438761
26,1026,Sao Paulo,São Paulo,-23.539657127270942,-46.6318842127058
31,1031,Sao Paulo,São Paulo,-23.54190585344045,-46.63508761691669
35,1035,Sao Paulo,São Paulo,-23.541614488738944,-46.64154914252652
39,1039,Sao Paulo,São Paulo,-23.54137085777194,-46.63916528885119
40,1040,Sao Paulo,São Paulo,-23.541028179008823,-46.63832469496941
41,1041,Sao Paulo,São Paulo,-23.54390458746036,-46.64004648644472
42,1042,Sao Paulo,São Paulo,-23.54485294953175,-46.640410456031695
44,1044,Sao Paulo,São Paulo,-23.545598238423416,-46.64145267015315
63,1123,Sao Paulo,São Paulo,-23.529164543710603,-46.636582392674725
65,1125,Sao Paulo,São Paulo,-23.52728844957164,-46.64016432350874
66,1126,Sao Paulo,São Paulo,-23.52706654933756,-46.6391527868084
67,1127,Sao Paulo,São Paulo,-23.52548080336663,-46.64159548852641
69,1129,Sao Paulo,São Paulo,-23.524051385464382,-46.64507304012999
71,1131,Sao Paulo,São Paulo,-23.522379737671027,-46.64310784736644
79,1139,Sao Paulo,São Paulo,-23.520724956071756,-46.66593897144172
80,1140,Sao Paulo,São Paulo,-23.52043844370904,-46.66923716844039
90,1156,Sao Paulo,São Paulo,-23.528921138302916,-46.66643724514499
93,1201,Sao Paulo,São Paulo,-23.53608280967418,-46.64953939046932
98,1206,Sao Paulo,São Paulo,-23.53586368511747,-46.64281871336397
99,1207,Sao Paulo,São Paulo,-23.539175560135185,-46.63865415001012
100,1208,Sao Paulo,São Paulo,-23.538660495662256,-46.63898204602016
101,1209,Sao Paulo,São Paulo,-23.540695255566067,-46.64158293572283
102,1210,Sao Paulo,São Paulo,-23.54003934055892,-46.64209131081347
104,1212,Sao Paulo,São Paulo,-23.538268511790665,-46.63942263256764
106,1214,Sao Paulo,São Paulo,-23.538842493961862,-46.645230453060144
107,1215,Sao Paulo,São Paulo,-23.536167399914945,-46.64754185786535
112,1220,Sao Paulo,São Paulo,-23.544514011109737,-46.64603990221942
114,1222,Sao Paulo,São Paulo,-23.545944543973,-46.64936937401519
115,1223,Sao Paulo,São Paulo,-23.54408811655856,-46.6485821171502
116,1224,Sao Paulo,São Paulo,-23.54177865147579,-46.65242233963953
118,1226,Sao Paulo,São Paulo,-23.538010108905684,-46.65271926812756
122,1230,Sao Paulo,São Paulo,-23.536310405918027,-46.65711200863413
125,1233,Sao Paulo,São Paulo,-23.53624654014996,-46.66166521796578
130,1238,Sao Paulo,São Paulo,-23.542571396851145,-46.65424333104067
131,1239,Sao Paulo,São Paulo,-23.5430952700848,-46.63105919621764
136,1244,Sao Paulo,São Paulo,-23.56204912797664,-46.65959031403356
146,1254,Sao Paulo,São Paulo,-23.543337420255035,-46.680852402934015
149,1257,Sao Paulo,São Paulo,-23.54360983905432,-46.687838575110746
156,1303,Sao Paulo,São Paulo,-23.54950569815466,-46.64843251428849
162,1309,Sao Paulo,São Paulo,-23.555493080015932,-46.658452189500665
163,1310,Sao Paulo,São Paulo,-23.561652948469515,-46.65602130430728
164,1311,Sao Paulo,São Paulo,-23.564504609380947,-46.652792655953206
167,1314,Sao Paulo,São Paulo,-23.552640734461253,-46.64520437763303
172,1319,Sao Paulo,São Paulo,-23.55188165773143,-46.640727972716256
173,1320,Sao Paulo,São Paulo,-23.557955062291963,-46.6393473993254
189,1403,Sao Paulo,São Paulo,-23.56875503877107,-46.65340944414581
194,1408,Sao Paulo,São Paulo,-23.56711189502811,-46.66081341581779
197,1411,Sao Paulo,São Paulo,-23.56424786754298,-46.66405956794994
203,1417,Sao Paulo,São Paulo,-23.55277885309958,-46.63393189503633
206,1420,Sao Paulo,São Paulo,-23.563435490498804,-46.65791603919698
207,1421,Sao Paulo,São Paulo,-23.563299264968794,-46.66015369245716
211,1425,Sao Paulo,São Paulo,-23.57289853249542,-46.65924739236762
238,1452,Sao Paulo,São Paulo,-23.574996445978105,-46.68887938403559
256,1511,Sao Paulo,São Paulo,-23.561456812728604,-46.63294793571508
257,1512,Sao Paulo,São Paulo,-23.55371720607981,-46.62949909730413
273,1529,Sao Paulo,São Paulo,-23.56843915687453,-46.634555491641365
274,1530,Sao Paulo,São Paulo,-23.56894449806347,-46.63008918820539
283,1539,Sao Paulo,São Paulo,-23.5711528559151,-46.62043601303771
285,1541,Sao Paulo,São Paulo,-23.56925274057871,-46.61861697305809
289,1545,Sao Paulo,São Paulo,-23.58097414309849,-46.61831033162644
291,1547,Sao Paulo,São Paulo,-23.5829939617234,-46.62112676164033
294,1550,Sao Paulo,São Paulo,-23.57305660659289,-46.61615054561148
